Nazwa,Dzielnica,Adres,Kod,Sporty,Telefon,E-mail,WWW,Operator,Status,System rezerwacji,Przypisany,Osoba kontaktowa,Ostatni kontakt,Followup,Notatki,AI,Ostatnia zmiana
Park Tenisowy Olimpia,,"Warmińska 1, 60-622 Poznań, Polska",,wielofunkcyjne,61 840 68 72,biuro@parktenisowy.pl,https://posir.poznan.pl/obiekty/golecin/boiska-pilkarskie,"Stowarzyszenie Sportowe „Park Tenisowy Olimpia"" (klub sportowy)",Nowy,Własny system,,,,,,"Park Tenisowy Olimpia to prywatny ośrodek tenisowy na Warmińskiej 1 w Poznaniu, zarządzany przez Stowarzyszenie Sportowe o tej samej nazwie. Obiektem dysponuje 12 kortów (otwartych i krytych). Rezerwacje dostępne online via Reservise.com oraz telefonicznie (603 283 336) i mailowo (biuro@parktenisowy.pl). Korty czynne codziennie 7:00-24:00.",
Plek Centrum Sportu,,"Margonińska, 25, Poznań",,wielofunkcyjne,+48 531 122 698,office@centrumplek.pl,http://www.centrumplek.pl/,,Nowy,Zewnętrzny,,,,,,"Rezerwacje kortów i boisk odbywają się poprzez aplikację Playtomic, gdzie można sprawdzić dostępność, wybrać termin i godzinę gry.",
POSiR,,Poznań,,siatkówka,,staroleka@posir.poznan.pl,https://posir.poznan.pl/obiekty/rataje/park-rekreacji-staroleka-mala,,Nowy,Nieznany,,,,,,,
POSiR,,Poznań,,piłka nożna,,staroleka@posir.poznan.pl,https://posir.poznan.pl/obiekty/rataje/park-rekreacji-staroleka-mala,,Nowy,Nieznany,,,,,,,
POSiR - Hala B,,"Jana Spychalskiego 34, 61-553 Poznań, Polska",,piłka nożna / koszykówka / siatkówka / piłka ręczna / hokej / futsal,61 833 05 11,chwialka@posir.poznan.pl,http://www.chwialka.poznan.pl/,POSiR (Poznańskie Ośrodki Sportu i Rekreacji) - jednostka miejska,Nowy,Telefon,,,,,,Hala B POSiR na ul. Jana Spychalskiego 34 w Poznaniu to hala sportowa zarządzana przez Poznańskie Ośrodki Sportu i Rekreacji (jednostkę miejską). Hala służy głównie klubom i stowarzyszeniom sportowym. Rezerwacja następuje drogą telefoniczną pod numer 61 833 05 11 (linia główna) lub poprzez e-mail chwialka@posir.poznan.pl. Recepcja jest czynna od 7:00 do 22:00. Więcej informacji dostępne na stronie www.posir.poznan.pl/obiekty/chwialka/,
Poznańskie Ośrodki Sportu i Rekreacji - Hala A,,"ul, Jana Spychalskiego 34, 61-553 Poznań, Polska",,wielofunkcyjne,61 833 05 11,sekretariat@posir.poznan.pl,http://www.chwialka.poznan.pl/,Poznańskie Ośrodki Sportu i Rekreacji (jednostka samorządu terytorialnego Miasta Poznań),Nowy,Nieznany,,,,,,,
Poznańskie Ośrodki Sportu i Rekreacji - Hala C,,"Jana Spychalskiego 38, 61-553 Poznań, Polska",,wielofunkcyjne,61 833 05 11,sekretariat@posir.poznan.pl,http://www.chwialka.poznan.pl/,Poznańskie Ośrodki Sportu i Rekreacji - jednostka samorządowa Miasta Poznania,Nowy,Nieznany,,,,,,,
Poznańskie Ośrodki Sportu i Rekreacji POSiR,,"Gdańska 1, 61-123 Poznań, Polska",,piłka nożna / siatkówka plażowa,61 877 23 29,mos@posir.poznan.pl,https://posir.poznan.pl/obiekty/mos/,Poznańskie Ośrodki Sportu i Rekreacji (POSiR) - jednostka samorządowa Miasta Poznania,Nowy,Telefon,,,,,,"Młodzieżowy Ośrodek Sportowy (MOS) przy ul. Gdańskiej 1 w Poznaniu jest oddziałem Poznańskich Ośrodków Sportu i Rekreacji (POSiR), jednostki samorządowej Miasta Poznania. Obiekt oferuje boisko piłkarskie, korty tenisowe, bieżnię lekkoatletyczną oraz boiska do siatkówki plażowej. Rezerwacje boiska dokonuje się telefonicznie pod numer 61 877 23 29 lub mailowo na adres mos@posir.poznan.pl. Więcej informacji dostępnych na stronie https://posir.poznan.pl/obiekty/mos/",
"Poznańskie Ośrodki Sportu i Rekreacji, Oddział Golęcin",,"Warmińska 1, 60-622 Poznań, Polska",,wielofunkcyjne,61 840 68 72,biuro@parktenisowy.pl,http://golecin.poznan.pl/,"Stowarzyszenie Sportowe „Park Tenisowy Olimpia"" (klub sportowy)",Nowy,Własny system,,,,,,"Park Tenisowy Olimpia to prywatny ośrodek tenisowy na Warmińskiej 1 w Poznaniu, zarządzany przez Stowarzyszenie Sportowe o tej samej nazwie. Obiektem dysponuje 12 kortów (otwartych i krytych). Rezerwacje dostępne online via Reservise.com oraz telefonicznie (603 283 336) i mailowo (biuro@parktenisowy.pl). Korty czynne codziennie 7:00-24:00.",
"Poznańskie Ośrodki Sportu i Rekreacji, Oddział Malta",,"Wiankowa 3, 61-131 Poznań, Polska",,piłka nożna / siatkówka plażowa,61 876 60 11,biuro@malta.poznan.pl,http://www.malta.poznan.pl/,Poznańskie Ośrodki Sportu i Rekreacji (POSiR) - Samorządowy Zakład Budżetowy Miasta Poznania,Nowy,Inny,,,,,,,
Przystań KS Posnania,,Poznań,,wielofunkcyjne,,,https://przystanposnania.pl/,,Nowy,Zewnętrzny,,,,,,"Strona zawiera przycisk ""zapisz się na zajęcia"" oraz odniesienia do ""Grafiku zajęć"", które kierują do systemu rezerwacji zajęć.",
Radojewko - Fabryka Dobrej Zabawy,,"Podbiałowa, 11",,wielofunkcyjne,720 833 645; 782 620 197,biuro@eventowotarg.com,eventowotarg.com,firma prywatna,Nowy,Telefon,,,,,,Radojewko - Fabryka Dobrej Zabawy to prywatne przedsiębiorstwo zlokalizowane na ul. Podbiałowej 11 w Poznaniu. Specjalizuje się w organizacji imprez urodzinowych i eventów dla dzieci z bogatą ofertą atrakcji. Rezerwacje dokonuje się poprzez telefon kontaktowy: 720 833 645 (Paulina) lub 782 620 197 (Kuba). Kontakt również dostępny przez e-mail: biuro@eventowotarg.com lub stronę eventowotarg.com.,
Red Oak,,"Jana Pawła II, 7, Poznań",61-131,wielofunkcyjne,+48691581271,,https://www.facebook.com/redoaksport/,,Nowy,Nieznany,,,,,,"Strona zawiera kod JavaScript Facebook, nie można określić systemu rezerwacji na podstawie dostarczonego HTML.",
Sport Club Poznań,,"Pl. Władysława Andersa 1, 60-898 Poznań, Polska",,wielofunkcyjne,504 165 900,,https://www.facebook.com/sportclubpoznan,,Nowy,Nieznany,,,,,,"Sport Club Poznań na Placu Władysława Andersa 1 w Poznaniu jest zarejestrowany jako pub/klub nocny czynny od 16:00 do 4:00 rano. Telefon kontaktowy to 504 165 900. Niski poziom pewności wynika z faktu, że wyszukania internetu sugerują, iż jest to bar/klub, a nie wielofunkcyjny obiekt sportowy z boiskami. Brak potwierdzenia dostępności dyscyplin sportowych, systemu rezerwacji boisk i innych charakterystyk obiektu sportowego.",
Stadion KKS Lechia Kostrzyn,,Poznań,,piłka nożna,,,http://lechiakostrzyn.pl,,Nowy,Nieznany,,,,,,Strona jest w trakcie budowy (Site en construction) - zawiera tylko elementy OVHcloud placeholder. Nie można określić systemu rezerwacji.,
Stadion Lekkoatletyczny POSiR Golęcin,,"Warmińska 1, 60-622 Poznań, Polska",,wielofunkcyjne,61 840 68 72,,https://posir.poznan.pl/obiekty/golecin/boiska-pilkarskie,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane wyłącznie telefonicznie pod numer 61 840 68 72 (Oddział Golęcin) lub centralą 61 835 79 00; brak systemu online lub zewnętrznej platformy do rezerwacji.,
Stadion OSiR w Mosinie,,"Marii Konopnickiej, 31, Mosina",62-050,wielofunkcyjne,,osir@mosina.pl,https://osirmosina.pl/,,Nowy,E-mail,,,,,,"Rezerwacje odbywają się poprzez kontakt e-mailowy lub telefoniczny - brak dedykowanego systemu online, obowiązkowe bezpośrednie kontaktowanie się z obiektem.",
Stadion POSiR Harcerska,,"Harcerska 5, 61-011 Poznań, Polska",,piłka nożna / futsal,61 877 23 29,,https://posir.poznan.pl/obiekty/mos/stadion-pilkarski-przy-ul-harcerskiej,Poznański Szkolny Związek Sportowy / POSiR,Nowy,Telefon,,,,,,"Stadion piłkarski przy ul. Harcerskiej 5 w Poznaniu to nowoczesny obiekt zarządzany przez Poznański Szkolny Związek Sportowy wspólnie z POSiR. Rezerwacje boiska dokonywane są telefonicznie pod numer 61 877 23 29 w godzinach pracy biura (poniedziałek–piątek, 7:30–15:00). Stadion przeznaczony jest głównie dla piłki nożnej i futsalu, z dostępem dla drużyn treningowych i meczowych.",
Stadion Sportowy GOSiR w Komornikach,,Poznań,,wielofunkcyjne,+48505007579,,https://gosirkomorniki.pl/obiekty-gosir/stadion-pilkarski-w-komornikach/,,Nowy,Nieznany,,,,,,,
Strefa Sportu Tenis & Fitness,,"Osiedle Edwarda Raczyńskiego, 3/50, Swarzędz",62-020,wielofunkcyjne,+48 61 818 51 05,,https://www.strefa-sportu.pl/kontakt/,,Nowy,Telefon,,,,,,"Rezerwacje przyjmowane telefonicznie na numer 601 294 295; strona zawiera formularz kontaktowy, ale głównym kanałem komunikacji jest telefon.",
Tenis Park Luboń,,"Armii Poznań, 2h, Luboń",62-030,wielofunkcyjne,+48511918114,,https://pl-pl.facebook.com/TenisParkLubon/,,Nowy,Nieznany,,,,,,Strona zawiera głównie kod techniczny Facebooka; brak widocznych informacji o systemie rezerwacji.,
Termy Maltańskie — Boiska,Warszawskie-Pomet-Maltańskie,"ul. Termalna 1, 61-028 Poznań",61-051,siatkówka / piłka nożna,61 876 60 11,,https://termymaltanskie.com.pl,,Nowy,Brak / z marszu,,,,,,"Termy Maltańskie oferują wolny wstęp bez konieczności rezerwacji - bilety można kupić na miejscu. Strona zawiera przycisk ""Kup bilet"" dla poszczególnych stref, ale nie ma systemu rezerwacji online ani wymogów zarezerwowania miejsca z góry.",Franek
Warta Poznań SA,,"Droga Dębińska 12, 61-001 Poznań, Polska",,piłka nożna,61 833 05 11,,http://www.chwialka.poznan.pl/,Warta Poznań S.A. (klub sportowy); własność miasta Poznania,Nowy,Telefon,,,,,,"Stadion Warty Poznań SA to stadion piłkarski przy ul. Droga Dębińska 12 w Poznaniu. Stanowi własność miasta Poznania i jest użytkowany przez klub Warta Poznań S.A. (zespół drugoligowy). Rezerwacja i informacje: telefon 61 833 05 11, oficjalna strona www.wartapoznan.pl. Godziny otwarcia i system rezerwacji boiska wymagają uściślenia bezpośredniego kontaktu z obiektem.",
Wielkopolska Przychodnia Sportowo–Lekarska,,"Reymonta 35, 60-791 Poznań, Polska",,wielofunkcyjne,,,https://posir.poznan.pl/obiekty/kasprowicza/hala-sportow-walki,POSiR (Poznańskie Ośrodki Sportu i Rekreacji),Nowy,Nieznany,,,,,,"Hala POSiR Sporty Walki przy ul. Reymonta 35 w Poznaniu to obiekt zarządzany przez POSiR, przeznaczony dla sportów walki (boks, taekwondo, judo). Hala przeszła modernizację w 2016 roku i dysponuje profesjonalnym ringiem bokserskim, urządzeniami do ćwiczeń siłowych oraz matami amortyzacyjnymi. Rezerwacja dostępu wymaga kontaktu z zarządzającym, dane kontaktowe wymuszają bezpośredni kontakt z POSiR.",
WKS Grunwald Poznań - sekcja zapaśnicza,,"Bukowska 25A, 60-501 Poznań, Polska",,wielofunkcyjne,"+48 500269255, +48 261 577010",biuro@wks-grunwald.poznan.pl,http://wks-grunwald.poznan.pl/,Wojskowy Klub Sportowy (WKS) Grunwald Poznań - stowarzyszenie sportowe,Nowy,Brak / z marszu,,,,,,,
Xtreme Fitness Poznań Stary Browar,Stare Miasto,"Półwiejska 42, 61-888 Poznań, Polska",61-898,inne,690 359 044,poznan.starybrowar@xtremefitness.pl,https://xtremefitness.pl/poznan-starybrowar,Firma (B2R FITNESS Sp. z.o.o.),Nowy,Telefon,,,,,,"Xtreme Fitness Poznań Stary Browar to prywatny klub fitness i siłownia zarządzany przez firmę B2R FITNESS Sp. z.o.o. Rezerwacje przebiegają telefonicznie. Można kontaktować się pod numerem 690 359 044 lub mailowo na adres poznan.starybrowar@xtremefitness.pl. Klub czynny jest od poniedziałku do piątku 6:00-23:00, w sobotę 8:00-20:00, w niedzielę 8:00-18:00.",
Zespół Szkół Mistrzostwa Sportowego nr 2,,"Al. Niepodległości 32, 61-714 Poznań, Polska",,piłka nożna,61 852 60 01,kontakt@sportowa13.pl,www.sportowa13.pl,Miasto Poznań (szkoła publiczna),Nowy,Brak / z marszu,,,,,,"Zespół Szkół Mistrzostwa Sportowego nr 2 (Al. Niepodległości 32, 61-714 Poznań) to szkoła publiczna prowadzona przez Miasto Poznań, skupiająca się na szkoleniu sportowym w piłce nożnej, lekkoatletyce i tenisie stołowym. Obiekty sportowe to sala gimnastyczna, hala sportowa, boiska oraz bieżnie. Rezerwacje i informacje: tel. 61 852 60 01, e-mail kontakt@sportowa13.pl, www.sportowa13.pl. Jako szkoła – brak publicznego systemu rezerwacji boisk, kontakt możliwy poprzez sekretariat.",
Boisko — baseball,,Poznań,,baseball,,,,,Nowy,Nieznany,,,,,,,
Boisko — baseball,,Poznań,,baseball,,,,,Nowy,Nieznany,,,,,,,
Boisko — baseball · tartan / asfalt,,Poznań,,baseball,,,,,Nowy,Nieznany,,,,,,,
Boisko — hokej na trawie,,Poznań,,hokej na trawie,,,,,Nowy,Nieznany,,,,,,,
Boisko — hokej na trawie · sztuczna trawa,,Poznań,,hokej na trawie,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,Kasztelanów,ul. Bułgarska,60-325,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,Strzeszyn,ul. Krajenecka,60-463,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,Antoninek,ul. Zbyłowita,61-062,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,Przy Trakcie,ul. Szkolna,62-090,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,Chartowo,ul. Piaśnicka,61-290,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,Grunwald Północ,ul. Swoboda,60-389,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,ul. Pogodna,62-020,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,Grunwald Północ,ul. Sierakowska,60-367,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,Stare Miasto,ul. Działowa,61-764,koszykówka,,,,,Nowy,Nieznany,Franek,,,,,,Franek
Boisko — koszykówka,Przy Trakcie,ul. Szkolna,62-090,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,ul. Poznańska,60-185,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,Naramowice,Poznań,61-616,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,Naramowice,Poznań,61-616,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,Górczynek,ul. Bojanowska,60-103,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,ul. Poznańska,62-008,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
